Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,10u,C_0805_2012Metric,198.628,-147.381,270,top
C4,10u,C_0805_2012Metric,190.185,-140.716,0,top
C5,1u,C_0805_2012Metric,152.715,-147.955,0,top
C6,100n,C_0805_2012Metric,148.275,-147.955,0,top
C7,4u7,C_0805_2012Metric,190.246,-134.747,0,top
C8,100n,C_0805_2012Metric,189.804,-129.032,180,top
C9,1u,C_0805_2012Metric,200.086,-137.033,0,top
C10,1u,C_0805_2012Metric,200.086,-133.477,180,top
C11,4u7,C_0805_2012Metric,205.232,-124.521,270,top
C12,4u7,C_0805_2012Metric,208.026,-124.521,270,top
C13,100n,C_0805_2012Metric,156.337,-125.476,0,top
C14,100n,C_0805_2012Metric,157.861,-121.092,90,top
C15,100n,C_0805_2012Metric,189.799,-88.7095,180,top
C16,100n,C_0805_2012Metric,196.7205,-88.7095,180,top
C17,100n,C_0805_2012Metric,166.6265,-118.745,180,top
C18,100n,C_0805_2012Metric,171.0715,-118.745,180,top
C19,100n,C_0805_2012Metric,166.685,-97.2185,180,top
C20,100n,C_0805_2012Metric,171.069,-97.282,180,top
C21,100n,C_0805_2012Metric,189.865,-111.252,180,top
C22,100n,C_0805_2012Metric,196.7205,-111.252,180,top
C23,10u,C_0805_2012Metric,144.78,-133.35,180,top
C24,100n,C_0805_2012Metric,144.78,-130.175,180,top
C25,10u,C_0805_2012Metric,138.115,-130.175,180,top
C26,100n,C_0805_2012Metric,138.11,-132.715,180,top
C27,100n,C_0805_2012Metric,138.11,-135.255,180,top
C28,100n,C_0805_2012Metric,199.5805,-114.9985,0,top
C29,22n,C_0805_2012Metric,162.1815,-117.602,0,top
C30,100n,C_0805_2012Metric,199.39,-94.361,0,top
C31,22n,C_0805_2012Metric,176.718,-118.745,180,top
C32,2u2,C_0805_2012Metric,199.71,-102.235,0,top
C33,100n,C_0805_2012Metric,138.0896,-137.7696,180,top
C34,100n,C_0805_2012Metric,151.7752,-138.3792,0,top
C35,100n,C_0805_2012Metric,151.7396,-141.732,0,top
C36,100n,C_0805_2012Metric,143.83,-147.955,0,top
C37,1u,C_0805_2012Metric,150.815,-127,0,top
D1,B5819W,D_SOD-123,206.63,-140.335,0,top
D6,1N4148W,D_SOD-123,176.15,-93.345,0,top
D7,1N4148W,D_SOD-123,176.275,-96.52,180,top
FB1,100R @ 100MHz,L_0805_2012Metric,199.3435,-143.002,0,top
FB2,100R @ 100MHz,L_0805_2012Metric,152.8275,-145.415,0,top
FB3,100R @ 100MHz,L_0805_2012Metric,199.3435,-140.208,0,top
FB4,100R @ 100MHz,L_0805_2012Metric,160.2275,-125.476,180,top
Q1,MMBT3904,SOT-23,179.435,-131.887,180,top
Q2,MMBT3904,SOT-23,174.641,-131.887,0,top
R1,2M2,R_0805_2012Metric,204.7475,-85.5345,180,top
R2,2M2,R_0805_2012Metric,200.9375,-85.5345,0,top
R3,560,R_0805_2012Metric,187.452,-84.7325,270,top
R4,1M,R_0805_2012Metric,186.69,-75.8425,270,top
R5,2k2,R_0805_2012Metric,160.909,-121.1345,270,top
R6,1R,R_0805_2012Metric,204.3665,-137.033,0,top
R7,1R,R_0805_2012Metric,200.0485,-129.921,0,top
R8,114k,R_0805_2012Metric,195.4765,-125.857,0,top
R9,13k3,R_0805_2012Metric,195.4295,-123.317,180,top
R10,10k,R_0805_2012Metric,149.225,-83.947,90,top
R11,220k,R_0805_2012Metric,162.139,-109.982,180,top
R12,560k,R_0805_2012Metric,162.139,-112.522,180,top
R13,82k,R_0805_2012Metric,162.219,-104.902,180,top
R14,18k,R_0805_2012Metric,162.219,-107.442,180,top
R15,100k,R_0805_2012Metric,162.219,-115.062,0,top
R16,10k,R_0805_2012Metric,159.385,-83.9235,90,top
R17,220k,R_0805_2012Metric,176.7605,-106.045,0,top
R18,100k,R_0805_2012Metric,176.7605,-108.585,0,top
R19,100k,R_0805_2012Metric,176.7605,-111.125,0,top
R20,560k,R_0805_2012Metric,176.7605,-113.665,0,top
R21,82k,R_0805_2012Metric,177.5225,-100.965,180,top
R22,18k,R_0805_2012Metric,176.6805,-103.505,180,top
R23,100k,R_0805_2012Metric,176.6805,-116.205,180,top
R24,100k,R_0805_2012Metric,176.1725,-85.725,0,top
R25,100k,R_0805_2012Metric,176.1725,-88.265,180,top
R26,100k,R_0805_2012Metric,176.1725,-90.805,180,top
R27,100k,R_0805_2012Metric,162.2025,-92.075,180,top
R28,100k,R_0805_2012Metric,162.2025,-89.535,0,top
R29,100k,R_0805_2012Metric,162.2825,-94.615,0,top
R30,1k,R_0805_2012Metric,162.2825,-97.155,180,top
R31,2k2,R_0805_2012Metric,199.6675,-104.775,180,top
R32,100k,R_0805_2012Metric,186.3325,-104.775,180,top
R33,100k,R_0805_2012Metric,186.3325,-99.695,180,top
R34,270k,R_0805_2012Metric,186.3325,-102.235,180,top
R35,100k,R_0805_2012Metric,186.4125,-107.315,0,top
R36,10k,R_0805_2012Metric,139.4225,-147.955,180,top
R37,100R,R_0805_2012Metric,170.5375,-132.588,180,top
R38,100k,R_0805_2012Metric,174.7285,-127.762,0,top
R39,1M,R_0805_2012Metric,178.9665,-127.762,0,top
U1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,193.232,-84.455,90,top
U5,TL072,SOIC-8_3.9x4.9mm_P1.27mm,169.1005,-113.157,90,top
U6,TL072,SOIC-8_3.9x4.9mm_P1.27mm,169.037,-92.075,90,top
U7,TL072,SOIC-8_3.9x4.9mm_P1.27mm,193.1035,-104.14,90,top
