Comment,Designator,Footprint,LCSC Part Number
TL072,"U7,U6,U5,U1",SOIC-8_3.9x4.9_1.27P,C6961
1k2,"R40, R3, R30",0805,C17379
2k7,R12,0805,C17530
1M,"R39,R4",0805,C17514
100k,"R38,R35,R33,R32,R29,R28,R27,R26,R25,R24,R23,R19,R18,R15",0805,C17407
100R,R37,0805,C17408
MMBT3904,"Q2,Q1",SOT-23-3,C20526
10k,"R36,R16,R10",0805,C17414
270k,"R34, R20",0805,C17589
2k2,"R31,R5",0805,C17520
15k,R22,0805,C17475
120k,R21,0805,C17436
68k,R13,0805,C17801
220k,"R17,R11",0805,C17556
27k,R14,0805,C17593
1R,"R7,R6",0805,C25271
2M2,"R2,R1",0805,C26113
Bead,"FB4,FB3,FB2,FB1",0805,C1015
1N4148W,"D7,D6",SOD-123,C81598
B5819W,D1,SOD-123,C8598
1u,"C37,C10,C9,C5",0805,C28323
100n,"C36,C35,C34,C33,C30,C28,C27,C26,C24,C22,C21,C20,C19,C18,C17,C16,C15,C14,C13,C8,C6",0805,C49678
2u2,C32,0805,C49217
22n,"C31,C29",0805,C1729
10u,"C38, C25,C23,C4,C3",0805,C15850
4u7,"C12,C11,C7",0805,C1779
